location,startTime,crs,sbc,likes,most_recent_instructor,id,day,past_instructors,endTime,sctn,credits,subj,avgGrade,cmp,recent_two_instructors,semesters,courseTitle,classNbr
"{-, -, B206, B206}","6:30 PM, 6:30 PM, 6:30 PM, 6:30 PM",658,NaN,0,?,6436c2687efba14cf3f90053,"TU, TU, TU, TU",{},"7:50 PM, 7:50 PM, 7:50 PM, 7:50 PM",S90,1,CSE,0,SEM,{},?,Seminar on Mobile and Wireless Networking,"95414, 54824, 92240, 52202"
"{-, -}","-, -",696,NaN,0,?,6436c2a63023723180f7ebb2,"APPT, APPT",{},"-, -",,1 to 3,CSE,0,TUT,{},?,PhD Internship Project Off-Campus,
{B613(B613)},12:30 PM(2:00 PM),224,NaN,0,?,65e58f4fee7bd45c98acc776,TUTH(F),{},1:50 PM(5:00 PM),90(L90),4,ESE,0,LEC(LAB),{},?,Advanced Programming and Data Structures,56528(56527)
"{-, -, -, -}","-, -, -, -",488,EXP+,0,?,6436c2687efba14cf3f90063,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,3,ESE,0,TUT,{},?,Internship in Electrical/Computer Engineering,
"{A314, A115, A115, A115}","3:30 PM, 5:00 PM, 5:00 PM, 5:00 PM",100,TECH,0,?,6436c2697efba14cf3f90066,"TU, TUTH, TUTH, MW",{},"4:50 PM, 6:20 PM, 6:20 PM, 6:20 PM",90,3,EST,0,LEC,{},?,"Designing, Producing & Presenting Multimedia Projects","96473, ?, 92498, 52364"
"{B203(B203), C107(C107), B203(B203), B203(B203)}","10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 10:30 AM(12:30 PM), 12:30 PM(2:00 PM)",220,NaN,0,?,6436c2667efba14cf3f90021,"TUTH(RECM), TUTH(RETU), MW(RECM), TUTH(RECTH)",{},"11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 11:50 AM(1:25 PM), 1:50 PM(2:55 PM)","90(R90), 90(R90), 90(R90), 90(R90)",4,CSE,0,"LEC(REC), LEC(REC), LEC(REC), LEC(REC)",{},?,Systems Fundamentals I,"95411(95412), 54736(54735), 92237(92238), 52145(52144)"
"{A312, B103, B204, B204}","3:30 PM, 3:30 PM, 3:30 PM, 3:30 PM",303,NaN,0,?,6436c2667efba14cf3f90024,"TUTH, TUTH, TUTH, TUTH",{},"4:50 PM, 4:50 PM, 4:50 PM, 4:50 PM",90,3,CSE,0,LEC,{},?,Intro to Theory of Computation,"95546, ?, 92322, 52096"
"{B204, B314, B207, B207}","2:00 PM, 3:30 PM, 9:00 AM, 9:00 AM",316,"Partially: ESI, EXP+, SBS+, STEM+",0,?,6436c2667efba14cf3f90026,"MW, MW, MW, MW",{},"3:20 PM, 4:50 PM, 10:20 AM, 10:20 AM",90,3,CSE,0,LEC,{},?,Fundamentals of Software Development,"95573, 54820, 92342, 52199"
"{-, -, -, -}","-, -, -, -",487,NaN,0,?,6436c2677efba14cf3f90036,"APPT, APPT, APPT, APPT",{},"-, -, -, -",,0 to 6,CSE,0,TUT,{},?,Research in Computer Science,
"{B204, B207}","10:30 AM, 10:30 AM",508,NaN,0,?,6436c2677efba14cf3f90040,"TUTH, TUTH",{},"11:50 AM, 11:50 AM",90,3,CSE,0,LEC,{},?,Network Security,"96331, 56525"
"{B207, A116}","2:00 PM, 2:00 PM",512,NaN,0,?,6436c2a43023723180f7eb90,"TUTH, TUTH",{},"3:20 PM, 3:20 PM",90,3,CSE,0,LEC,{},?,Machine Learning,"56208, 52355"
"{-, -, -}","-, -, -",522,NaN,0,?,6436c2677efba14cf3f90041,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Special Project in Computer Science,
"{-, -, -}","-, -, -",524,NaN,0,?,6436c2677efba14cf3f90043,"APPT, APPT, APPT",{},"-, -, -",,3,CSE,0,TUT,{},?,Advanced Project in Computer Science II,
{B203},3:30 PM,527,NaN,0,?,6436c2a53023723180f7eb9c,TUTH,{},4:50 PM,90,3,CSE,0,LEC,{},?,Introduction to Computer Vision,56209
"{B206, A312}","12:30 PM, 2:00 PM",540,NaN,0,?,6436c2a53023723180f7eb9d,"TUTH, MW",{},"1:50 PM, 3:20 PM",90,3,CSE,0,LEC,{},?,Theory of Computation,"54737, 52146"
